,City,Country,Latitude,Longitude,Temp (F),Humidity (%),Clouds (%),Wind Speed (mph)
369,tazovskiy,ru,67.46130409999999,78.7086641,27.45,97.0,100.0,12.03
370,launceston,au,-41.439068,147.1357671,37.98,78.0,40.0,1.99
371,charters towers,au,-20.0769637,146.2601362,70.54,82.0,13.0,5.48
372,outjo,na,-20.1127536,16.1610343,86.27,26.0,80.0,13.27
373,mahibadhoo,mv,3.756783299999999,72.9689398,83.1,74.0,100.0,10.51
374,balabac,ph,8.1539618,117.1264753,82.44,80.0,56.0,10.98
375,jizan,sa,16.8893586,42.57056740000001,89.1,46.0,69.0,9.06
376,san quintin,mx,30.56087669999999,-115.9379302,72.25,44.0,0.0,3.56
377,balkanabat,tm,39.5238734,54.3360001,57.42,41.0,80.0,3.89
378,barguzin,ru,53.6179245,109.6396262,22.23,60.0,0.0,3.56
379,airai,pw,7.396611799999999,134.5690225,62.62,92.0,96.0,1.16
380,wasilla,us,61.58087629999999,-149.4410598,27.03,87.0,75.0,0.0
381,tanout,ne,14.972892,8.8831506,94.21,8.0,100.0,14.23
382,jalu,ly,29.040621,21.4991334,79.43,37.0,100.0,9.57
383,lewiston,us,44.100351,-70.21477639999999,50.67,67.0,1.0,8.05
384,mackenzie,ca,47.4993326,-111.3070106,28.06,87.0,10.0,1.5
385,landeck,at,47.14057,10.56558,49.24,53.0,100.0,7.7
386,crixas,br,-14.5338682,-49.9623622,99.5,23.0,64.0,1.86
387,marathon,us,39.1144402,-94.6299538,51.04,83.0,90.0,1.99
388,umm kaddadah,sd,13.60375,26.68413,90.27,11.0,4.0,8.1
389,charlestown,us,42.3782065,-71.0602131,63.45,66.0,0.0,1.01
390,gazanjyk,tm,39.2470722,55.51918569999999,56.79,45.0,76.0,8.55
391,roald,no,49.00370909999999,-123.065897,52.39,87.0,75.0,6.91
392,saleaula,ws,-13.4482906,-172.3367114,,,,
393,inderborskiy,kz,48.548962,51.7402919,,,,
394,hamilton,bm,37.19295779999999,-95.7175467,57.16,97.0,90.0,1.01
395,marsa matruh,eg,31.3543445,27.2373159,72.57,75.0,89.0,7.9
396,encheng,cn,37.15268,116.27655,73.02,90.0,88.0,0.6
397,cartagena,co,10.3932277,-75.4832311,78.42,83.0,75.0,11.5
398,mexico,us,23.634501,-102.552784,80.15,81.0,4.0,5.28
399,kirovskiy,ru,45.0956164,133.4980776,39.11,69.0,0.0,3.71
400,lasa,cn,30.2572057,-97.6819854,47.66,69.0,99.0,4.61
401,tobol,kz,57.32153700000001,67.1554838,38.26,92.0,100.0,7.02
402,mersing,my,2.430917,103.8361151,80.06,85.0,79.0,3.44
403,jahrom,ir,28.5177435,53.5743866,,,,
404,pahrump,us,36.2082943,-115.9839147,66.42,31.0,0.0,2.26
405,bur gabo,so,-1.2182517,41.83786569999999,,,,
406,chama,zm,41.83280449999999,-88.0260843,51.71,77.0,85.0,2.3
407,takoradi,gh,4.9015794,-1.7830973,82.44,74.0,82.0,10.49
408,pedro ii,br,-4.428982,-41.457211,95.85,22.0,89.0,4.97
409,okhotsk,ru,59.35845999999999,143.2034909,22.62,58.0,64.0,18.39
410,pinyug,ru,60.2494835,47.7789249,26.46,94.0,100.0,12.41
411,artyk,ru,64.17916699999999,145.129167,,,,
412,tolaga bay,nz,-38.3716801,178.296891,53.17,87.0,17.0,6.71
413,te anau,nz,-45.41442929999999,167.7180426,47.73,93.0,84.0,1.72
414,phan rang,vn,11.5825677,108.9912066,,,,
415,bjornevatn,no,69.6674613,29.9871566,34.14,86.0,75.0,8.05
416,mahebourg,mu,-20.4059505,57.7034222,73.26,75.0,75.0,10.49
417,manbij,sy,36.5352848,37.9678652,61.57,44.0,38.0,6.89
418,tynda,ru,55.1438334,124.7413766,19.4,49.0,0.0,4.43
419,hami,cn,42.81842,93.51514999999999,53.04,32.0,0.0,5.12
420,storforshei,no,66.4016108,14.5354519,42.19,100.0,75.0,1.14
421,krasnogorskoye,ru,57.7046513,52.4917523,37.69,80.0,82.0,4.56
422,atasu,kz,48.6789286,71.6308323,37.06,35.0,96.0,9.71
423,plouzane,fr,48.381438,-4.620404,58.14,69.0,75.0,19.57
424,atar,mr,35.119629,-106.637302,88.7,25.0,91.0,5.37
425,evensk,ru,61.9217585,159.2358052,9.75,91.0,86.0,6.82
426,vostok,ru,41.5793342,-72.3452649,31.59,73.0,0.0,3.13
427,ukiah,us,39.1501709,-123.2077831,56.84,95.0,90.0,0.0
428,rybachiy,ru,69.7,32.6,49.86,63.0,68.0,7.65
429,rawson,ar,-43.2998581,-65.09948729999999,74.08,26.0,98.0,8.9
430,mandalgovi,mn,45.7631589,106.2650297,28.15,78.0,74.0,10.56
431,mirpur sakro,pk,24.5433858,67.6274785,77.22,42.0,1.0,6.91
432,saint-ambroise,ca,48.5534387,-71.3212872,46.81,43.0,0.0,4.83
433,emba,kz,45.5036388,-73.6214452,39.6,86.0,100.0,9.93
434,ambilobe,mg,-13.2026069,49.0514094,77.13,77.0,34.0,3.42
435,la ronge,ca,55.10823,-105.285989,37.65,56.0,40.0,4.61
436,saint-georges,gf,47.7667931,-117.469733,83.12,68.0,11.0,11.86
437,yunjinghong,cn,21.9928436,100.7934711,,,,
438,carmo do cajuru,br,-20.1847973,-44.7714395,81.82,42.0,100.0,5.77
439,tilichiki,ru,60.43333299999999,166.0486109,28.11,85.0,98.0,14.03
440,ayagoz,kz,47.9755808,80.43273599999999,39.99,61.0,10.0,7.09
441,labuhan,id,-6.372081,105.832298,81.48,79.0,100.0,4.63
442,yenagoa,ng,4.921162100000001,6.274773400000001,84.47,72.0,99.0,6.46
443,portland,au,45.515232,-122.6783853,49.95,95.0,90.0,4.61
444,lukovetskiy,ru,64.2932526,41.9230918,31.98,99.0,100.0,7.67
445,margate,za,26.2445263,-80.206436,56.21,69.0,99.0,1.99
446,mustafakemalpasa,tr,40.0394409,28.405177,59.05,73.0,0.0,5.95
447,kazalinsk,kz,45.7640559,62.0999125,,,,
448,konza,ke,39.0422714,-96.8230545,70.21,51.0,83.0,10.18
449,ribas do rio pardo,br,-20.4520956,-53.7601034,89.44,48.0,12.0,5.26
450,port orange,us,29.1383165,-80.9956105,76.84,48.0,20.0,14.97
451,alamos,mx,27.0254869,-108.941309,74.71,42.0,0.0,1.95
452,paradwip,in,20.3165523,86.6113628,,,,
453,itarema,br,-2.9242369,-39.9129274,89.53,51.0,92.0,15.57
454,pathein,mm,16.7753609,94.7381013,76.62,92.0,100.0,3.02
455,merauke,id,-8.4991117,140.4049814,78.93,86.0,78.0,8.66
456,erice,it,38.0380892,12.5873511,54.88,82.0,40.0,6.91
457,tulum,mx,20.2114185,-87.46535019999999,82.06,47.0,75.0,7.92
458,setaka,jp,33.1472583,130.4643635,55.53,31.0,1.0,3.29
459,waghai,in,20.7737289,73.4975656,71.22,46.0,43.0,5.68
460,porto walter,br,-8.2672986,-72.7417348,90.48,48.0,81.0,3.71
461,seoul,kr,37.566535,126.9779692,47.91,50.0,100.0,2.53
462,ampanihy,mg,-24.6930487,44.7451765,64.53,61.0,2.0,16.15
463,port hedland,au,-20.3123929,118.6093685,75.25,69.0,99.0,9.22
464,abha,sa,18.2464685,42.5117238,66.45,17.0,0.0,12.66
465,medyn,ru,54.9677787,35.8569771,49.93,91.0,96.0,7.92
466,karkaralinsk,kz,49.4129509,75.4772753,,,,
467,topeka,us,39.0473451,-95.67515759999999,49.77,80.0,90.0,3.0
468,abay,kz,50.39552699999999,85.113441,34.18,35.0,100.0,13.09
469,kavieng,pg,-2.5781167,150.8086082,82.45,76.0,12.0,8.43
470,burica,pa,44.8983119,-116.0982145,,,,
471,fairbanks,us,64.8377778,-147.7163888,17.38,90.0,90.0,4.61
472,port hardy,ca,50.7207083,-127.4968728,39.38,93.0,20.0,9.22
473,oistins,bb,13.0705904,-59.54695439999999,86.09,58.0,20.0,17.27
474,abashiri,jp,44.0206059,144.2734837,44.02,75.0,35.0,17.43
475,attawapiskat,ca,52.9258846,-82.42889219999999,,,,
476,dolinsk,ru,47.32471959999999,142.7979136,24.66,88.0,4.0,3.87
477,dolores,ar,37.4738818,-108.5045356,81.41,36.0,48.0,13.13
478,pyaozerskiy,ru,65.763736,31.0795485,41.25,97.0,100.0,10.11
479,watsa,cd,3.033069,29.53977059999999,67.66,93.0,99.0,1.48
480,paita,pe,-5.0938488,-81.0962172,73.96,66.0,59.0,13.33
481,minbu,mm,20.1713723,94.8702156,78.85,80.0,97.0,2.82
482,mount isa,au,-20.7263687,139.4930159,73.17,88.0,88.0,3.44
483,puli,co,40.7496785,-89.61905829999999,68.83,85.0,54.0,2.91
484,helong,cn,42.546675,129.010106,42.39,52.0,100.0,3.09
485,christchurch,nz,-43.5320214,172.6305589,54.61,93.0,90.0,4.0
486,tairua,nz,-37.0016206,175.8486903,58.08,88.0,33.0,5.77
487,puerto cabezas,ni,14.0391161,-83.39496319999999,87.76,79.0,75.0,4.61
488,uthal,pk,25.8270226,66.6235995,81.88,36.0,0.0,5.48
489,kailua,us,21.4022222,-157.7394444,74.66,76.0,40.0,5.75
490,mangaratiba,br,-22.9427961,-44.0404998,74.26,85.0,100.0,6.08
491,windsor,ca,36.4558345,-94.2634618,55.49,96.0,90.0,1.99
492,grindavik,is,63.8441808,-22.4383818,43.27,87.0,75.0,16.11
493,sechelt,ca,49.4741736,-123.7545601,45.59,87.0,68.0,8.9
494,ust-uda,ru,54.1761389,103.0257108,27.59,56.0,38.0,4.38
495,sharjah,ae,25.3461728,55.42107050000001,81.93,50.0,0.0,10.36
496,tacoronte,es,28.4797948,-16.4133213,66.43,64.0,40.0,8.01
497,lamu,ke,-2.2695575,40.9006408,80.82,81.0,7.0,12.95
498,yumen,cn,40.29184300000001,97.04567800000001,43.74,29.0,34.0,6.89
499,avera,pf,43.4889111,-96.7657105,58.28,73.0,95.0,13.98
